niche,sender,receiver,ligand,prioritization_score,receptor,top_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,CCL2,0.762661893,ACKR1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,GAS6,0.746836586,AXL,10Suprabasal_niche
10Suprabasal_niche,7 Epidermis,10 Suprabasal keratinocytes,PROS1,0.700791748,AXL,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,BMP2,0.685845946,ENG,10Suprabasal_niche
10Suprabasal_niche,7 Epidermis,10 Suprabasal keratinocytes,BMP7,0.743469828,ENG,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,WNT4,0.726868691,FZD6,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,ITGB2,0.685096415,ICAM1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,LIF,0.686376998,IL6ST,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,ADAM15,0.744841185,ITGB1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,ADAM17,0.706869729,ITGB1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,LAMB1,0.709645176,ITGB1,10Suprabasal_niche
10Suprabasal_niche,4 Epidermis,10 Suprabasal keratinocytes,SPP1,0.708503269,ITGB5,10Suprabasal_niche
10Suprabasal_niche,4 Epidermis,10 Suprabasal keratinocytes,VTN,0.685515053,ITGB5,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,A2M,0.747653636,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,AGRN,0.710524999,LRP1,10Suprabasal_niche
10Suprabasal_niche,7 Epidermis,10 Suprabasal keratinocytes,F8,0.703417638,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,HSP90B1,0.773709266,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,LRPAP1,0.739300844,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,LTF,0.800672741,LRP1,10Suprabasal_niche
10Suprabasal_niche,4 Epidermis,10 Suprabasal keratinocytes,MMP9,0.699181038,LRP1,10Suprabasal_niche
10Suprabasal_niche,4 Epidermis,10 Suprabasal keratinocytes,PLAT,0.797875639,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,PLAU,0.739678476,LRP1,10Suprabasal_niche
10Suprabasal_niche,7 Epidermis,10 Suprabasal keratinocytes,SERPINA1,0.699751892,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,SERPINE1,0.718496493,LRP1,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,CALM2,0.751072748,MYLK,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,CALM3,0.709001007,MYLK,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,DLL1,0.717790363,NOTCH2,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,JAG2,0.788025349,NOTCH2,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,PDGFA,0.714959177,PDGFRB,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,SEMA3E,0.694129132,PLXND1,10Suprabasal_niche
10Suprabasal_niche,4 Epidermis,10 Suprabasal keratinocytes,CD24,0.756168336,SELP,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,TGFB1,0.736325822,TGFBR2,10Suprabasal_niche
10Suprabasal_niche,7 Epidermis,10 Suprabasal keratinocytes,TNFSF14,0.695072135,TNFRSF14,10Suprabasal_niche
10Suprabasal_niche,3 Epidermis,10 Suprabasal keratinocytes,TNF,0.694720598,TNFRSF1A,10Suprabasal_niche
